#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	80	MYL12B	9606.ENSP00000463559	Myosin regulatory light chain 12B; Myosin regulatory subunit that plays an important role in regulation of both smooth muscle and nonmuscle cell contractile activity via its phosphorylation. Phosphorylation triggers actin polymerization in vascular smooth muscle. Implicated in cytokinesis, receptor capping, and cell locomotion; EF-hand domain containing
MCL	1	Red	80	MYL6	9606.ENSP00000446955	Myosin light polypeptide 6; Regulatory light chain of myosin. Does not bind calcium; EF-hand domain containing
MCL	1	Red	80	MYL9	9606.ENSP00000279022	Myosin regulatory light polypeptide 9; Myosin regulatory subunit that plays an important role in regulation of both smooth muscle and nonmuscle cell contractile activity via its phosphorylation. Implicated in cytokinesis, receptor capping, and cell locomotion; EF-hand domain containing
MCL	1	Red	80	NAMPT	9606.ENSP00000222553	Nicotinamide phosphoribosyltransferase; Catalyzes the condensation of nicotinamide with 5- phosphoribosyl-1-pyrophosphate to yield nicotinamide mononucleotide, an intermediate in the biosynthesis of NAD. It is the rate limiting component in the mammalian NAD biosynthesis pathway. The secreted form behaves both as a cytokine with immunomodulating properties and an adipokine with anti-diabetic properties, it has no enzymatic activity, partly because of lack of activation by ATP, which has a low level in extracellular space and plasma. Plays a role in the modulation of circadian clock fun [...] 
MCL	1	Red	80	PARK7	9606.ENSP00000418770	Protein/nucleic acid deglycase DJ-1; Protein and nucleotide deglycase that catalyzes the deglycation of the Maillard adducts formed between amino groups of proteins or nucleotides and reactive carbonyl groups of glyoxals. Thus, functions as a protein deglycase that repairs methylglyoxal- and glyoxal-glycated proteins, and releases repaired proteins and lactate or glycolate, respectively. Deglycates cysteine, arginine and lysine residues in proteins, and thus reactivates these proteins by reversing glycation by glyoxals. Acts on early glycation intermediates (hemithioacetals and aminoca [...] 
MCL	1	Red	80	PARP1	9606.ENSP00000355759	Poly [ADP-ribose] polymerase 1; Involved in the base excision repair (BER) pathway, by catalyzing the poly(ADP-ribosyl)ation of a limited number of acceptor proteins involved in chromatin architecture and in DNA metabolism. This modification follows DNA damages and appears as an obligatory step in a detection/signaling pathway leading to the reparation of DNA strand breaks. Mediates the poly(ADP-ribosyl)ation of APLF and CHFR. Positively regulates the transcription of MTUS1 and negatively regulates the transcription of MTUS2/TIP150. With EEF1A1 and TXK, forms a complex that acts as a T [...] 
MCL	1	Red	80	PEBP1	9606.ENSP00000261313	Phosphatidylethanolamine-binding protein 1; Binds ATP, opioids and phosphatidylethanolamine. Has lower affinity for phosphatidylinositol and phosphatidylcholine. Serine protease inhibitor which inhibits thrombin, neuropsin and chymotrypsin but not trypsin, tissue type plasminogen activator and elastase (By similarity). Inhibits the kinase activity of RAF1 by inhibiting its activation and by dissociating the RAF1/MEK complex and acting as a competitive inhibitor of MEK phosphorylation
MCL	1	Red	80	PFKL	9606.ENSP00000269848	ATP-dependent 6-phosphofructokinase, liver type; Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis; Belongs to the phosphofructokinase type A (PFKA) family. ATP-dependent PFK group I subfamily. Eukaryotic two domain clade "E" sub-subfamily
MCL	1	Red	80	PFKM	9606.ENSP00000345771	ATP-dependent 6-phosphofructokinase, muscle type; Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis; Belongs to the phosphofructokinase type A (PFKA) family. ATP-dependent PFK group I subfamily. Eukaryotic two domain clade "E" sub-subfamily
MCL	1	Red	80	PFKP	9606.ENSP00000370517	ATP-dependent 6-phosphofructokinase, platelet type; Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis; Belongs to the phosphofructokinase type A (PFKA) family. ATP-dependent PFK group I subfamily. Eukaryotic two domain clade "E" sub-subfamily
MCL	1	Red	80	PFN1	9606.ENSP00000225655	Profilin-1; Binds to actin and affects the structure of the cytoskeleton. At high concentrations, profilin prevents the polymerization of actin, whereas it enhances it at low concentrations. By binding to PIP2, it inhibits the formation of IP3 and DG. Inhibits androgen receptor (AR) and HTT aggregation and binding of G-actin is essential for its inhibition of AR
MCL	1	Red	80	PGK1	9606.ENSP00000362413	Phosphoglycerate kinase 1; In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein). May play a role in sperm motility
MCL	1	Red	80	PGM1	9606.ENSP00000360124	Phosphoglucomutase-1; This enzyme participates in both the breakdown and synthesis of glucose; Belongs to the phosphohexose mutase family
MCL	1	Red	80	PHGDH	9606.ENSP00000358417	D-3-phosphoglycerate dehydrogenase; Catalyzes the reversible oxidation of 3-phospho-D- glycerate to 3-phosphonooxypyruvate, the first step of the phosphorylated L-serine biosynthesis pathway. Also catalyzes the reversible oxidation of 2-hydroxyglutarate to 2-oxoglutarate and the reversible oxidation of (S)-malate to oxaloacetate; Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
MCL	1	Red	80	PKM	9606.ENSP00000320171	Pyruvate kinase m1/2; Pyruvate kinase PKM; Glycolytic enzyme that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate (PEP) to ADP, generating ATP. Stimulates POU5F1-mediated transcriptional activation. Plays a general role in caspase independent cell death of tumor cells. The ratio between the highly active tetrameric form and nearly inactive dimeric form determines whether glucose carbons are channeled to biosynthetic processes or used for glycolytic ATP production. The transition between the 2 forms contributes to the control of glycolysis and is important for tumo [...] 
MCL	1	Red	80	POTEI	9606.ENSP00000392718	POTE ankyrin domain family member I; In the N-terminal section; belongs to the POTE family
MCL	1	Red	80	PPIA	9606.ENSP00000419425	Peptidyl-prolyl cis-trans isomerase A; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides; Belongs to the cyclophilin-type PPIase family. PPIase A subfamily
MCL	1	Red	80	PRDX1	9606.ENSP00000262746	Peroxiredoxin-1; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events. Might participate in the signaling cascades of growth factors and tumor necrosis factor-alpha by regulating the intracellular concentrations of H(2)O(2). Reduces an intramolecular disulfide bond in GDPD5 that gates the ability to GDPD5 to drive postmitotic motor neuron differentiation (By s [...] 
MCL	1	Red	80	PRDX2	9606.ENSP00000301522	Peroxiredoxin-2; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events. Might participate in the signaling cascades of growth factors and tumor necrosis factor-alpha by regulating the intracellular concentrations of H(2)O(2); Belongs to the peroxiredoxin family. AhpC/Prx1 subfamily
MCL	1	Red	80	PRDX6	9606.ENSP00000342026	Peroxiredoxin-6; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Can reduce H(2)O(2) and short chain organic, fatty acid, and phospholipid hydroperoxides. Also has phospholipase activity, and can therefore either reduce the oxidized sn-2 fatty acyl grup of phospholipids (peroxidase activity) or hydrolyze the sn-2 ester bond of phospholipids (phospholipase activity). These activities are dependent on binding to phospholipids at acidic pH and to oxidized phospholipds at cytosolic pH. Plays a role  [...] 
MCL	1	Red	80	RDX	9606.ENSP00000384136	Radixin; Probably plays a crucial role in the binding of the barbed end of actin filaments to the plasma membrane; Deafness associated genes
MCL	1	Red	80	RHOC	9606.ENSP00000285735	Rho-related GTP-binding protein RhoC; Regulates a signal transduction pathway linking plasma membrane receptors to the assembly of focal adhesions and actin stress fibers. Serves as a microtubule-dependent signal that is required for the myosin contractile ring formation during cell cycle cytokinesis. Regulates apical junction formation in bronchial epithelial cells; Rho family GTPases
MCL	1	Red	80	S100A8	9606.ENSP00000357722	Protein S100-A8; S100A8 is a calcium- and zinc-binding protein which plays a prominent role in the regulation of inflammatory processes and immune response. It can induce neutrophil chemotaxis and adhesion. Predominantly found as calprotectin (S100A8/A9) which has a wide plethora of intra- and extracellular functions. The intracellular functions include: facilitating leukocyte arachidonic acid trafficking and metabolism, modulation of the tubulin-dependent cytoskeleton during migration of phagocytes and activation of the neutrophilic NADPH-oxidase. Activates NADPH- oxidase by facilitat [...] 
MCL	1	Red	80	SLC2A14	9606.ENSP00000445929	Solute carrier family 2, facilitated glucose transporter member 14; Facilitative glucose transporter (By similarity). May have a specific function related to spermatogenesis; Solute carriers
MCL	1	Red	80	SOD2	9606.ENSP00000446252	Superoxide dismutase [Mn], mitochondrial; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems
MCL	1	Red	80	TKT	9606.ENSP00000391481	Transketolase; Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate; Belongs to the transketolase family
MCL	1	Red	80	TPI1	9606.ENSP00000229270	Triosephosphate isomerase (tim); Triosephosphate isomerase 1; Belongs to the triosephosphate isomerase family
MCL	1	Red	80	TPM1	9606.ENSP00000351022	Tropomyosin alpha-1 chain; Tropomyosin 1; Tropomyosins
MCL	1	Red	80	TPM4	9606.ENSP00000345230	Tropomyosin alpha-4 chain; Tropomyosin 4; Tropomyosins
MCL	1	Red	80	TUBA1A	9606.ENSP00000301071	Tubulin alpha-1A chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Tubulins
MCL	1	Red	80	TUBB	9606.ENSP00000339001	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Tubulins
MCL	1	Red	80	TUBB2A	9606.ENSP00000369703	Tubulin beta-2A chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity); Tubulins
MCL	1	Red	80	TUBB4A	9606.ENSP00000264071	Tubulin beta-4A chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Tubulins
MCL	1	Red	80	TUBB4B	9606.ENSP00000341289	Tubulin beta-4B chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Belongs to the tubulin family
MCL	1	Red	80	UCHL1	9606.ENSP00000284440	Ubiquitin carboxyl-terminal hydrolase isozyme L1; Ubiquitin-protein hydrolase involved both in the processing of ubiquitin precursors and of ubiquitinated proteins. This enzyme is a thiol protease that recognizes and hydrolyzes a peptide bond at the C-terminal glycine of ubiquitin. Also binds to free monoubiquitin and may prevent its degradation in lysosomes. The homodimer may have ATP-independent ubiquitin ligase activity; Parkinson disease associated genes
MCL	1	Red	80	VIM	9606.ENSP00000446007	Vimentin; Vimentins are class-III intermediate filaments found in various non-epithelial cells, especially mesenchymal cells. Vimentin is attached to the nucleus, endoplasmic reticulum, and mitochondria, either laterally or terminally
MCL	1	Red	80	WARS	9606.ENSP00000347495	Tryptophan--tRNA ligase, cytoplasmic; Isoform 1, isoform 2 and T1-TrpRS have aminoacylation activity while T2-TrpRS lacks it. Isoform 2, T1-TrpRS and T2-TrpRS possess angiostatic activity whereas isoform 1 lacks it. T2-TrpRS inhibits fluid shear stress-activated responses of endothelial cells. Regulates ERK, Akt, and eNOS activation pathways that are associated with angiogenesis, cytoskeletal reorganization and shear stress-responsive gene expression; Belongs to the class-I aminoacyl-tRNA synthetase family
MCL	1	Red	80	WASF2	9606.ENSP00000483313	Wiskott-Aldrich syndrome protein family member 2; Downstream effector molecule involved in the transmission of signals from tyrosine kinase receptors and small GTPases to the actin cytoskeleton. Promotes formation of actin filaments. Part of the WAVE complex that regulates lamellipodia formation. The WAVE complex regulates actin filament reorganization via its interaction with the Arp2/3 complex; Wiskott-Aldrich Syndrome protein family
MCL	1	Red	80	YWHAE	9606.ENSP00000264335	14-3-3 protein epsilon; Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner (By similarity). Positively regulates phosphorylated protein HSF1 nuclear export to the cytoplasm; Belongs to the 14-3-3 family
MCL	1	Red	80	YWHAQ	9606.ENSP00000371267	14-3-3 protein theta; Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner. Negatively regulates the kinase activity of PDPK1; Belongs to the 14-3-3 family
MCL	1	Red	80	YWHAZ	9606.ENSP00000379287	14-3-3 protein zeta/delta; Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner; Belongs to the 14-3-3 family
MCL	2	Orange	40	EEF1A1	9606.ENSP00000339063	Elongation factor 1-alpha 1; This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. With PARP1 and TXK, forms a complex that acts as a T helper 1 (Th1) cell-specific transcription factor and binds the promoter of IFN-gamma to directly regulate its transcription, and is thus involved importantly in Th1 cytokine production; Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. EF-Tu/EF-1A subfamily
MCL	2	Orange	40	EEF1B2	9606.ENSP00000376056	Eukaryotic translation elongation factor 1 beta 2; Elongation factor 1-beta; EF-1-beta and EF-1-delta stimulate the exchange of GDP bound to EF-1-alpha to GTP
MCL	2	Orange	40	EIF5A	9606.ENSP00000336702	Eukaryotic translation initiation factor 5A-1; mRNA-binding protein involved in translation elongation. Has an important function at the level of mRNA turnover, probably acting downstream of decapping. Involved in actin dynamics and cell cycle progression, mRNA decay and probably in a pathway involved in stress response and maintenance of cell wall integrity. With syntenin SDCBP, functions as a regulator of p53/TP53 and p53/TP53-dependent apoptosis. Regulates also TNF- alpha-mediated apoptosis. Mediates effects of polyamines on neuronal process extension and survival. May play an impor [...] 
MCL	2	Orange	40	ENSP00000454746	9606.ENSP00000454746	Uncharacterized protein
MCL	2	Orange	40	PLEC	9606.ENSP00000323856	Plectin; Interlinks intermediate filaments with microtubules and microfilaments and anchors intermediate filaments to desmosomes or hemidesmosomes. Could also bind muscle proteins such as actin to membrane complexes in muscle. May be involved not only in the filaments network, but also in the regulation of their dynamics. Structural component of muscle. Isoform 9 plays a major role in the maintenance of myofiber integrity; Plakins
MCL	2	Orange	40	RPL10	9606.ENSP00000413436	60S ribosomal protein L10; Component of the large ribosomal subunit. Plays a role in the formation of actively translating ribosomes. May play a role in the embryonic brain development
MCL	2	Orange	40	RPL10A	9606.ENSP00000363018	60S ribosomal protein L10a; Component of the large ribosomal subunit
MCL	2	Orange	40	RPL12	9606.ENSP00000354739	Large subunit ribosomal protein l12e; 60S ribosomal protein L12; Binds directly to 26S ribosomal RNA
MCL	2	Orange	40	RPL14	9606.ENSP00000379506	60S ribosomal protein L14; Component of the large ribosomal subunit; Belongs to the eukaryotic ribosomal protein eL14 family
MCL	2	Orange	40	RPL17	9606.ENSP00000397798	60S ribosomal protein L17; Component of the large ribosomal subunit; Belongs to the universal ribosomal protein uL22 family
MCL	2	Orange	40	RPL18	9606.ENSP00000447001	60S ribosomal protein L18; Component of the large ribosomal subunit; Belongs to the eukaryotic ribosomal protein eL18 family
MCL	2	Orange	40	RPL23	9606.ENSP00000420311	Large subunit ribosomal protein l23e; Ribosomal protein L23
